updated,miners,height,difficulty,coinId,poolId,hashrate
2019-01-31 08:39:23,17439,1760971,78141242442,1,188,70846766
2019-01-31 08:39:24,138,1760971,78141242442,1,189,297340
2019-01-31 08:39:23,405,1760971,78141242442,1,191,2708219
2019-01-31 08:39:23,536,1760971,78141242442,1,192,1335702
2019-01-31 08:39:25,4,1760972,78141251801,1,193,2036
2019-01-31 08:39:25,1,1760971,78141242442,1,194,534
2019-01-31 08:39:25,36,1760971,78280351880,1,195,90508
2019-01-16 14:14:18,12,1750270,62442769762,1,196,17359
2019-01-17 06:35:01,4,1750783,65344880359,1,198,7727
2019-01-31 08:39:25,459,1760971,78141413624,1,199,204915
2019-01-31 08:39:26,19,1760971,78141245228,1,200,178792
2019-01-31 08:39:26,11,1760972,78280008131,1,201,212748
2019-01-31 08:39:25,3,1760972,78280247241,1,203,3145
2018-12-21 02:53:57,0,1696177,59028803611,1,205,0
2019-01-31 08:39:25,0,1760972,78279666585,1,206,0
2019-01-10 20:03:31,8,829474,464610638,1,207,522916
2019-01-02 15:59:25,0,1685584,62106237326,1,209,0
2019-01-31 08:40:06,-1,1760971,78141163682,1,509,-1
2019-01-31 08:40:23,0,1760972,78280351880,1,769,0
2019-01-31 08:40:28,-1,1760971,78141242442,1,827,-1
2019-01-31 08:40:34,-1,1760971,78141242442,1,862,-1
2019-01-31 08:40:57,-1,1760971,78141163682,1,1055,-1
2019-01-31 08:40:57,-1,1760971,78280351880,1,1056,-1
2019-01-31 08:40:59,-1,1760971,78141242442,1,1057,-1
2019-01-31 08:40:59,-1,1760971,78141242442,1,1058,-1
2019-01-24 11:22:59,-1,1755961,68655238157,1,1059,-1
2019-01-31 08:40:59,-1,1760971,78141242442,1,1060,-1
2019-01-31 08:41:00,-1,1760971,78141242442,1,1061,-1
2019-01-31 08:40:59,-1,1760971,78141242442,1,1064,-1
2019-01-31 05:58:11,-1,1760901,79723928934,1,1065,-1
2019-01-31 08:41:02,-1,1760971,78141242442,1,1066,-1
